Match_ID,Season,Team1,Team2,Venue,City,Toss_Winner,Toss_Decision,Winner,Win_Margin,Win_Type,Win_By,Player_of_Match,Match_Type,Target_Score,Overs,Toss_Winner_Won_Match,Batting_First_Won
273,2012,Royal Challengers Bangalore,Delhi Daredevils,Brabourne Stadium,Mumbai,Delhi Daredevils,Field,Royal Challengers Bangalore,75,Runs,75 runs,Daniel Vettori,League,199,20,No,Yes
274,2012,Kolkata Knight Riders,Pune Warriors India,HPCA Stadium,,Kolkata Knight Riders,Bat,Pune Warriors India,3,Wickets,3 wickets,Michael Clarke,League,144,20,No,No
275,2012,Deccan Chargers,Kolkata Knight Riders,Arun Jaitley Stadium,Delhi,Kolkata Knight Riders,Field,Deccan Chargers,42,Runs,42 runs,Andrew Symonds,League,162,20,No,Yes
276,2012,Rajasthan Royals,Pune Warriors India,JSCA International Stadium,Ranchi,Pune Warriors India,Field,Rajasthan Royals,7,Wickets,7 wickets,Jos Buttler,League,134,20,No,Yes
277,2012,Delhi Daredevils,Pune Warriors India,HPCA Stadium,Dharamsala,Pune Warriors India,Field,Delhi Daredevils,1,Wickets,1 wickets,Rishabh Pant,League,132,20,No,Yes
278,2012,Delhi Daredevils,Kings XI Punjab,VCA Stadium,Nagpur,Delhi Daredevils,Bat,Kings XI Punjab,10,Wickets,10 wickets,,League,190,20,No,No
279,2012,Royal Challengers Bangalore,Delhi Daredevils,Punjab Cricket Association Stadium,Mohali,Delhi Daredevils,Field,Royal Challengers Bangalore,6,Wickets,6 wickets,Shane Bond,League,130,20,No,Yes
280,2012,Royal Challengers Bangalore,Chennai Super Kings,Maharashtra Cricket Association Stadium,Pune,,Field,Royal Challengers Bangalore,9,Wickets,9 wickets,Yuzvendra Chahal,League,133,20,Yes,No
281,2012,Chennai Super Kings,Mumbai Indians,BRSABV Ekana Cricket Stadium,Lucknow,Mumbai Indians,Field,Chennai Super Kings,2,Wickets,2 wickets,Michael Hussey,League,202,20,No,Yes
282,2012,Chennai Super Kings,Kolkata Knight Riders,Rajiv Gandhi International Stadium,Hyderabad,Chennai Super Kings,Bat,Chennai Super Kings,3,Wickets,3 wickets,Suresh Raina,League,212,20,Yes,Yes
283,2012,Pune Warriors India,Delhi Daredevils,Narendra Modi Stadium,Ahmedabad,Delhi Daredevils,Bat,Delhi Daredevils,1,Wickets,1 wickets,Kagiso Rabada,League,161,20,Yes,Yes
284,2012,Pune Warriors India,Delhi Daredevils,Arun Jaitley Stadium,Delhi,Pune Warriors India,Bat,Pune Warriors India,27,Runs,27 runs,Sourav Ganguly,League,211,20,Yes,Yes
285,2012,Delhi Daredevils,Kolkata Knight Riders,Wankhede Stadium,Mumbai,Kolkata Knight Riders,Field,Delhi Daredevils,63,Runs,63 runs,Kevin Pietersen,League,185,20,No,Yes
286,2012,Mumbai Indians,Royal Challengers Bangalore,Dr YS Rajasekhara Reddy ACA-VDCA Stadium,Visakhapatnam,Mumbai Indians,Bat,Royal Challengers Bangalore,81,Runs,81 runs,Chris Gayle,League,212,20,No,No
287,2012,Deccan Chargers,Mumbai Indians,HPCA Stadium,Dharamsala,Deccan Chargers,Field,Deccan Chargers,6,Wickets,6 wickets,RP Singh,League,209,20,Yes,No
288,2012,Royal Challengers Bangalore,Kolkata Knight Riders,Barabati Stadium,Cuttack,Royal Challengers Bangalore,Bat,Royal Challengers Bangalore,31,Runs,31 runs,Dinesh Karthik,League,137,20,Yes,Yes
289,2012,Pune Warriors India,Kings XI Punjab,DY Patil Stadium,Navi Mumbai,Kings XI Punjab,Field,Kings XI Punjab,99,Runs,99 runs,KL Rahul,League,195,20,Yes,No
290,2012,Kolkata Knight Riders,Delhi Daredevils,Holkar Cricket Stadium,Indore,Kolkata Knight Riders,Field,Kolkata Knight Riders,6,Wickets,6 wickets,Rinku Singh,League,147,20,Yes,No
291,2012,Delhi Daredevils,Mumbai Indians,Dr YS Rajasekhara Reddy ACA-VDCA Stadium,Visakhapatnam,Delhi Daredevils,Field,Mumbai Indians,8,Wickets,8 wickets,Suryakumar Yadav,League,218,20,No,Yes
292,2012,Pune Warriors India,Deccan Chargers,VCA Stadium,Nagpur,Pune Warriors India,Field,Deccan Chargers,57,Runs,57 runs,VVS Laxman,League,219,20,No,Yes
293,2012,Chennai Super Kings,Mumbai Indians,Holkar Cricket Stadium,Indore,Chennai Super Kings,Bat,,64,Runs,64 runs,Suryakumar Yadav,League,152,20,No,No
294,2012,Royal Challengers Bangalore,Mumbai Indians,Holkar Cricket Stadium,Indore,Mumbai Indians,Field,Mumbai Indians,32,Runs,32 runs,Tilak Varma,League,158,20,Yes,No
295,2012,Chennai Super Kings,Deccan Chargers,MA Chidambaram Stadium,Chennai,Deccan Chargers,Bat,Chennai Super Kings,43,Runs,43 runs,Ambati Rayudu,League,170,20,No,No
296,2012,Pune Warriors India,Mumbai Indians,Shaheed Veer Narayan Singh International Stadium,Raipur,Pune Warriors India,Field,Pune Warriors India,4,Wickets,4 wickets,Sourav Ganguly,League,134,20,Yes,No
297,2012,Deccan Chargers,Delhi Daredevils,BRSABV Ekana Cricket Stadium,Lucknow,Delhi Daredevils,Field,Deccan Chargers,100,Runs,100 runs,VVS Laxman,League,214,20,No,Yes
298,2012,Delhi Daredevils,Kolkata Knight Riders,HPCA Stadium,Dharamsala,Kolkata Knight Riders,Bat,Kolkata Knight Riders,8,Wickets,8 wickets,Shubman Gill,League,165,20,Yes,Yes
299,2012,Kolkata Knight Riders,Kings XI Punjab,M Chinnaswamy Stadium,Bangalore,Kolkata Knight Riders,Field,Kings XI Punjab,58,Runs,58 runs,KL Rahul,League,147,20,No,Yes
300,2012,Delhi Daredevils,Royal Challengers Bangalore,Shaheed Veer Narayan Singh International Stadium,Raipur,Royal Challengers Bangalore,Field,Delhi Daredevils,100,Runs,100 runs,Kevin Pietersen,League,144,20,No,Yes
301,2012,Kings XI Punjab,Chennai Super Kings,Punjab Cricket Association Stadium,Mohali,Chennai Super Kings,Bat,Chennai Super Kings,7,Wickets,7 wickets,Ravindra Jadeja,League,159,20,Yes,Yes
302,2012,Kings XI Punjab,Mumbai Indians,Brabourne Stadium,Mumbai,Mumbai Indians,Bat,Kings XI Punjab,87,Runs,87 runs,Glenn Maxwell,League,131,20,No,No
303,2012,Rajasthan Royals,Deccan Chargers,VCA Stadium,Nagpur,Rajasthan Royals,Field,Deccan Chargers,4,Wickets,4 wickets,VVS Laxman,League,151,20,No,Yes
304,2012,Pune Warriors India,Deccan Chargers,DY Patil Stadium,Navi Mumbai,Pune Warriors India,Bat,Deccan Chargers,85,Runs,85 runs,Adam Gilchrist,League,178,20,No,No
305,2012,Chennai Super Kings,Delhi Daredevils,Punjab Cricket Association Stadium,Mohali,Chennai Super Kings,Bat,Delhi Daredevils,9,Wickets,9 wickets,David Warner,League,203,20,No,No
306,2012,Chennai Super Kings,Pune Warriors India,HPCA Stadium,Dharamsala,Pune Warriors India,Bat,Chennai Super Kings,8,Wickets,8 wickets,Devon Conway,League,162,20,No,No
307,2012,Royal Challengers Bangalore,Chennai Super Kings,Shaheed Veer Narayan Singh International Stadium,Raipur,Royal Challengers Bangalore,Bat,Chennai Super Kings,3,Wickets,3 wickets,Faf du Plessis,League,200,20,No,No
308,2012,Delhi Daredevils,Chennai Super Kings,M Chinnaswamy Stadium,Bangalore,Chennai Super Kings,Bat,Chennai Super Kings,68,Runs,68 runs,MS Dhoni,League,193,20,Yes,Yes
309,2012,Rajasthan Royals,Pune Warriors India,Eden Gardens,Kolkata,Pune Warriors India,Field,Rajasthan Royals,14,Runs,14 runs,Sanju Samson,League,175,20,No,Yes
310,2012,Kolkata Knight Riders,Kings XI Punjab,Maharashtra Cricket Association Stadium,Pune,Kings XI Punjab,Bat,Kolkata Knight Riders,65,Runs,65 runs,Pat Cummins,League,202,20,No,No
311,2012,Deccan Chargers,Delhi Daredevils,DY Patil Stadium,Navi Mumbai,Deccan Chargers,Bat,Delhi Daredevils,67,Runs,67 runs,Axar Patel,League,164,20,No,No
312,2012,Delhi Daredevils,Kolkata Knight Riders,JSCA International Stadium,Ranchi,Kolkata Knight Riders,Bat,Kolkata Knight Riders,4,Wickets,4 wickets,Gautam Gambhir,League,203,20,Yes,Yes
313,2012,Kings XI Punjab,Royal Challengers Bangalore,Brabourne Stadium,Mumbai,,Field,Royal Challengers Bangalore,9,Wickets,9 wickets,Shane Bond,League,189,20,No,Yes
314,2012,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata,Kolkata Knight Riders,Field,Kolkata Knight Riders,7,Wickets,7 wickets,Sunil Narine,League,167,20,Yes,No
315,2012,Rajasthan Royals,Chennai Super Kings,Eden Gardens,Kolkata,Rajasthan Royals,Field,Chennai Super Kings,10,Wickets,10 wickets,,League,154,20,No,Yes
316,2012,Pune Warriors India,Kings XI Punjab,M Chinnaswamy Stadium,Bangalore,Kings XI Punjab,Field,Kings XI Punjab,25,Runs,25 runs,Adam Gilchrist,League,175,20,Yes,No
317,2012,Kolkata Knight Riders,Delhi Daredevils,Arun Jaitley Stadium,Delhi,Kolkata Knight Riders,Bat,Delhi Daredevils,2,Wickets,2 wickets,Gautam Gambhir,League,153,20,No,No
318,2012,Kolkata Knight Riders,Mumbai Indians,BRSABV Ekana Cricket Stadium,Lucknow,Kolkata Knight Riders,Bat,Kolkata Knight Riders,9,Wickets,9 wickets,Pat Cummins,League,207,20,Yes,Yes
319,2012,Deccan Chargers,Chennai Super Kings,MA Chidambaram Stadium,Chennai,Chennai Super Kings,Field,Deccan Chargers,4,Wickets,4 wickets,RP Singh,League,177,20,No,Yes
320,2012,Mumbai Indians,Chennai Super Kings,,,Chennai Super Kings,Field,Chennai Super Kings,28,Runs,28 runs,Shane Watson,League,141,20,Yes,No
321,2012,Chennai Super Kings,Pune Warriors India,Holkar Cricket Stadium,Indore,Pune Warriors India,Bat,Chennai Super Kings,3,Wickets,3 wickets,MS Dhoni,Playoff,158,20,No,No
322,2012,Royal Challengers Bangalore,Kings XI Punjab,Punjab Cricket Association Stadium,Mohali,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,4,Wickets,4 wickets,Chris Gayle,Playoff,145,20,Yes,No
323,2012,Chennai Super Kings,Royal Challengers Bangalore,HPCA Stadium,Dharamsala,Royal Challengers Bangalore,Bat,Chennai Super Kings,54,Runs,54 runs,Ambati Rayudu,Playoff,173,20,No,No
324,2012,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Bat,Rajasthan Royals,61,Runs,61 runs,Yusuf Pathan,Final,188,20,Yes,Yes
325,2012,Delhi Daredevils,Royal Challengers Bangalore,Punjab Cricket Association Stadium,Mohali,Royal Challengers Bangalore,Bat,Royal Challengers Bangalore,2,Wickets,2 wickets,Daniel Vettori,Playoff,213,20,Yes,Yes
326,2013,Chennai Super Kings,Rajasthan Royals,M Chinnaswamy Stadium,Bangalore,Chennai Super Kings,Field,Chennai Super Kings,20,Runs,20 runs,Moeen Ali,League,186,20,Yes,No
327,2013,Sunrisers Hyderabad,Pune Warriors India,Dr YS Rajasekhara Reddy ACA-VDCA Stadium,Visakhapatnam,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,71,Runs,71 runs,Heinrich Klaasen,League,171,20,Yes,Yes
328,2013,Chennai Super Kings,Sunrisers Hyderabad,Sawai Mansingh Stadium,Jaipur,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,89,Runs,89 runs,Travis Head,League,157,20,Yes,Yes
329,2013,Delhi Daredevils,Pune Warriors India,VCA Stadium,Nagpur,Pune Warriors India,Field,Pune Warriors India,8,Wickets,8 wickets,Steve Smith,League,138,20,Yes,No
330,2013,Royal Challengers Bangalore,Kings XI Punjab,Shaheed Veer Narayan Singh International Stadium,Raipur,Royal Challengers Bangalore,Field,Kings XI Punjab,2,Wickets,2 wickets,Adam Gilchrist,League,156,20,No,Yes
331,2013,Kolkata Knight Riders,Chennai Super Kings,VCA Stadium,Nagpur,Chennai Super Kings,Field,,75,Runs,75 runs,Ambati Rayudu,League,175,20,Yes,No
332,2013,Royal Challengers Bangalore,Kings XI Punjab,Punjab Cricket Association Stadium,Mohali,Kings XI Punjab,Field,Royal Challengers Bangalore,10,Wickets,10 wickets,AB de Villiers,League,150,20,No,Yes
333,2013,Pune Warriors India,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Pune Warriors India,Bat,Rajasthan Royals,1,Wickets,1 wickets,Trent Boult,League,172,20,No,No
334,2013,Rajasthan Royals,Chennai Super Kings,Narendra Modi Stadium,Ahmedabad,Chennai Super Kings,Field,Chennai Super Kings,31,Runs,31 runs,Ambati Rayudu,League,153,20,Yes,No
335,2013,Chennai Super Kings,Delhi Daredevils,JSCA International Stadium,Ranchi,Delhi Daredevils,Field,Chennai Super Kings,20,Runs,20 runs,MS Dhoni,League,214,20,No,Yes
336,2013,Delhi Daredevils,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,Raipur,Sunrisers Hyderabad,Bat,Delhi Daredevils,2,Wickets,2 wickets,Gautam Gambhir,League,157,20,No,No
337,2013,Kolkata Knight Riders,Rajasthan Royals,Arun Jaitley Stadium,Delhi,Kolkata Knight Riders,Field,Rajasthan Royals,4,Wickets,4 wickets,Shane Warne,League,150,20,No,Yes
338,2013,Pune Warriors India,Kings XI Punjab,HPCA Stadium,Dharamsala,Pune Warriors India,Field,Kings XI Punjab,10,Wickets,10 wickets,Chris Gayle,League,165,20,No,Yes
339,2013,Chennai Super Kings,Delhi Daredevils,BRSABV Ekana Cricket Stadium,Lucknow,Chennai Super Kings,Bat,Delhi Daredevils,2,Wickets,2 wickets,,League,132,20,No,No
340,2013,Royal Challengers Bangalore,Mumbai Indians,Barabati Stadium,Cuttack,Mumbai Indians,Field,Mumbai Indians,90,Runs,90 runs,Krunal Pandya,League,182,20,Yes,No
341,2013,Sunrisers Hyderabad,Chennai Super Kings,Wankhede Stadium,Mumbai,Sunrisers Hyderabad,Field,Chennai Super Kings,2,Wickets,2 wickets,Murali Vijay,League,134,20,No,Yes
342,2013,Royal Challengers Bangalore,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,Raipur,Royal Challengers Bangalore,Bat,Sunrisers Hyderabad,4,Wickets,4 wickets,Kane Williamson,League,213,20,No,No
343,2013,Pune Warriors India,Royal Challengers Bangalore,MA Chidambaram Stadium,Chennai,Royal Challengers Bangalore,Bat,Pune Warriors India,3,Wickets,3 wickets,Angelo Mathews,League,177,20,No,No
344,2013,Kings XI Punjab,Royal Challengers Bangalore,JSCA International Stadium,Ranchi,Kings XI Punjab,Field,Royal Challengers Bangalore,45,Runs,45 runs,Yuzvendra Chahal,League,160,20,No,Yes
345,2013,Delhi Daredevils,Chennai Super Kings,Barabati Stadium,Cuttack,,Field,Delhi Daredevils,2,Runs,2 runs,David Warner,League,181,20,Yes,No
346,2013,Delhi Daredevils,Sunrisers Hyderabad,Barabati Stadium,Cuttack,Delhi Daredevils,Bat,Delhi Daredevils,71,Runs,71 runs,Virender Sehwag,League,188,20,Yes,Yes
347,2013,Mumbai Indians,Kings XI Punjab,DY Patil Stadium,Navi Mumbai,Mumbai Indians,Field,Kings XI Punjab,3,Wickets,3 wickets,Mohammad Shami,League,184,20,No,Yes
348,2013,Sunrisers Hyderabad,Mumbai Indians,Dr YS Rajasekhara Reddy ACA-VDCA Stadium,Visakhapatnam,Sunrisers Hyderabad,Field,Mumbai Indians,19,Runs,19 runs,Jasprit Bumrah,League,211,20,No,Yes
349,2013,Pune Warriors India,Kings XI Punjab,Punjab Cricket Association Stadium,Mohali,Kings XI Punjab,Bat,Kings XI Punjab,4,Wickets,4 wickets,Mayank Agarwal,League,167,20,Yes,Yes
350,2013,Delhi Daredevils,Pune Warriors India,Sawai Mansingh Stadium,Jaipur,Pune Warriors India,Field,Pune Warriors India,6,Wickets,6 wickets,Sourav Ganguly,League,189,20,Yes,No
351,2013,Pune Warriors India,Rajasthan Royals,Shaheed Veer Narayan Singh International Stadium,Raipur,Rajasthan Royals,Field,Rajasthan Royals,8,Wickets,8 wickets,Sanju Samson,League,138,20,Yes,No
352,2013,Pune Warriors India,Sunrisers Hyderabad,Holkar Cricket Stadium,Indore,Pune Warriors India,Bat,Pune Warriors India,1,Wickets,1 wickets,Steve Smith,League,156,20,Yes,Yes
353,2013,Kolkata Knight Riders,Mumbai Indians,Punjab Cricket Association Stadium,Mohali,Mumbai Indians,Field,Mumbai Indians,9,Wickets,9 wickets,Rohit Sharma,League,195,20,Yes,No
354,2013,Kings XI Punjab,Mumbai Indians,JSCA International Stadium,,Kings XI Punjab,Bat,Mumbai Indians,8,Wickets,8 wickets,Hardik Pandya,League,184,20,No,No
355,2013,Royal Challengers Bangalore,Kolkata Knight Riders,Punjab Cricket Association Stadium,Mohali,Kolkata Knight Riders,Bat,Kolkata Knight Riders,9,Wickets,9 wickets,Andre Russell,League,199,20,Yes,Yes
356,2013,Royal Challengers Bangalore,Mumbai Indians,DY Patil Stadium,Navi Mumbai,Mumbai Indians,Field,Mumbai Indians,7,Wickets,7 wickets,Tilak Varma,League,166,20,Yes,No
357,2013,Chennai Super Kings,Kings XI Punjab,Barabati Stadium,Cuttack,Kings XI Punjab,Field,Chennai Super Kings,16,Runs,16 runs,Shane Watson,League,176,20,No,Yes
358,2013,Kolkata Knight Riders,Kings XI Punjab,M Chinnaswamy Stadium,Bangalore,Kolkata Knight Riders,Field,,18,Runs,18 runs,Yusuf Pathan,League,197,20,Yes,No
359,2013,Sunrisers Hyderabad,Kolkata Knight Riders,Sawai Mansingh Stadium,Jaipur,Kolkata Knight Riders,Field,Kolkata Knight Riders,3,Wickets,3 wickets,Sunil Narine,League,135,20,Yes,No
360,2013,Kings XI Punjab,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,4,Wickets,4 wickets,Wriddhiman Saha,League,147,20,Yes,No
361,2013,Pune Warriors India,Kings XI Punjab,VCA Stadium,Nagpur,Kings XI Punjab,Bat,Pune Warriors India,2,Runs,2 runs,Sourav Ganguly,League,196,20,No,No
362,2013,Rajasthan Royals,Kings XI Punjab,Shaheed Veer Narayan Singh International Stadium,Raipur,Rajasthan Royals,Bat,Rajasthan Royals,3,Wickets,3 wickets,Shane Watson,League,202,20,Yes,Yes
363,2013,Kings XI Punjab,Mumbai Indians,Rajiv Gandhi International Stadium,Hyderabad,Mumbai Indians,Field,Mumbai Indians,7,Wickets,7 wickets,Ishan Kishan,League,140,20,Yes,No
364,2013,Rajasthan Royals,Pune Warriors India,MA Chidambaram Stadium,Chennai,Rajasthan Royals,Field,Pune Warriors India,67,Runs,67 runs,,League,142,20,No,Yes
365,2013,Kings XI Punjab,Pune Warriors India,,Raipur,Pune Warriors India,Bat,Kings XI Punjab,90,Runs,90 runs,Glenn Maxwell,League,192,20,No,No
366,2013,Rajasthan Royals,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,Pune,Sunrisers Hyderabad,Field,Rajasthan Royals,2,Wickets,2 wickets,Shane Warne,League,212,20,No,Yes
367,2013,Pune Warriors India,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy ACA-VDCA Stadium,Visakhapatnam,Pune Warriors India,Bat,Pune Warriors India,7,Wickets,7 wickets,Robin Uthappa,League,197,20,Yes,Yes
368,2013,Pune Warriors India,Chennai Super Kings,DY Patil Stadium,Navi Mumbai,Pune Warriors India,Bat,Pune Warriors India,4,Wickets,4 wickets,Robin Uthappa,League,158,20,Yes,Yes
369,2013,Delhi Daredevils,Chennai Super Kings,VCA Stadium,Nagpur,Chennai Super Kings,Field,Chennai Super Kings,77,Runs,77 runs,Ruturaj Gaikwad,League,137,20,Yes,No
370,2013,Kolkata Knight Riders,Pune Warriors India,Feroz Shah Kotla,Delhi,Pune Warriors India,Field,Pune Warriors India,10,Wickets,10 wickets,Robin Uthappa,League,135,20,Yes,No
371,2013,Sunrisers Hyderabad,Mumbai Indians,JSCA International Stadium,Ranchi,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,4,Wickets,4 wickets,Travis Head,League,210,20,Yes,No
372,2013,Royal Challengers Bangalore,Kings XI Punjab,Brabourne Stadium,Mumbai,Kings XI Punjab,Field,Royal Challengers Bangalore,1,Wickets,1 wickets,Virat Kohli,League,136,20,No,Yes
373,2013,Chennai Super Kings,Mumbai Indians,JSCA International Stadium,Ranchi,Mumbai Indians,Bat,Chennai Super Kings,1,Wickets,1 wickets,MS Dhoni,League,154,20,No,No
374,2013,Rajasthan Royals,Delhi Daredevils,M Chinnaswamy Stadium,Bangalore,Rajasthan Royals,Bat,Rajasthan Royals,8,Wickets,8 wickets,Ajinkya Rahane,League,177,20,Yes,Yes
375,2013,Kolkata Knight Riders,Chennai Super Kings,Sardar Patel Stadium,Ahmedabad,Kolkata Knight Riders,Bat,Chennai Super Kings,5,Wickets,5 wickets,Dwayne Bravo,League,148,20,No,No
376,2013,Rajasthan Royals,Kolkata Knight Riders,Barabati Stadium,Cuttack,Kolkata Knight Riders,Field,,15,Runs,15 runs,Shane Watson,League,155,20,No,Yes
377,2013,Rajasthan Royals,Pune Warriors India,Brabourne Stadium,Mumbai,Pune Warriors India,Bat,Pune Warriors India,39,Runs,39 runs,Angelo Mathews,League,211,20,Yes,Yes
378,2013,Sunrisers Hyderabad,Rajasthan Royals,Holkar Cricket Stadium,Indore,Rajasthan Royals,Field,Sunrisers Hyderabad,69,Runs,69 runs,Shikhar Dhawan,League,218,20,No,Yes
379,2013,Sunrisers Hyderabad,Royal Challengers Bangalore,BRSABV Ekana Cricket Stadium,Lucknow,Sunrisers Hyderabad,Bat,Royal Challengers Bangalore,62,Runs,62 runs,Rajat Patidar,League,215,20,No,No
380,2013,Kings XI Punjab,Mumbai Indians,VCA Stadium,Nagpur,Kings XI Punjab,Bat,Mumbai Indians,7,Wickets,7 wickets,Rohit Sharma,League,218,20,No,No
381,2013,Mumbai Indians,Rajasthan Royals,JSCA International Stadium,Ranchi,Mumbai Indians,Bat,Rajasthan Royals,4,Wickets,4 wickets,Shane Watson,League,219,20,No,No
382,2013,Mumbai Indians,Sunrisers Hyderabad,JSCA International Stadium,Ranchi,Mumbai Indians,Field,Sunrisers Hyderabad,66,Runs,66 runs,Kane Williamson,League,174,20,No,Yes
383,2013,Royal Challengers Bangalore,Rajasthan Royals,Dr YS Rajasekhara Reddy ACA-VDCA Stadium,Visakhapatnam,Rajasthan Royals,Field,Rajasthan Royals,5,Wickets,5 wickets,Yusuf Pathan,League,201,20,Yes,No
384,2013,Kolkata Knight Riders,Pune Warriors India,Barabati Stadium,Cuttack,Kolkata Knight Riders,Field,Pune Warriors India,8,Wickets,8 wickets,Michael Clarke,League,219,20,No,Yes
385,2013,Kings XI Punjab,Mumbai Indians,Barabati Stadium,Cuttack,Kings XI Punjab,Field,Kings XI Punjab,4,Wickets,4 wickets,Mayank Agarwal,League,203,20,Yes,No
386,2013,Mumbai Indians,Kolkata Knight Riders,DY Patil Stadium,,Kolkata Knight Riders,Bat,Kolkata Knight Riders,22,Runs,22 runs,Pat Cummins,League,185,20,Yes,Yes
387,2013,Delhi Daredevils,Rajasthan Royals,Rajiv Gandhi International Stadium,Hyderabad,Rajasthan Royals,Field,Rajasthan Royals,25,Runs,25 runs,Shane Warne,League,148,20,Yes,No
388,2013,Pune Warriors India,Rajasthan Royals,Wankhede Stadium,Mumbai,Rajasthan Royals,Field,Rajasthan Royals,26,Runs,26 runs,Riyan Parag,League,170,20,Yes,No
389,2013,Sunrisers Hyderabad,Pune Warriors India,DY Patil Stadium,Navi Mumbai,Sunrisers Hyderabad,Field,Pune Warriors India,5,Wickets,5 wickets,Robin Uthappa,League,157,20,No,Yes
390,2013,Kings XI Punjab,Rajasthan Royals,Eden Gardens,Kolkata,,Bat,Kings XI Punjab,65,Runs,65 runs,Mohammad Shami,League,192,20,Yes,Yes
391,2013,Rajasthan Royals,Chennai Super Kings,Maharashtra Cricket Association Stadium,Pune,Rajasthan Royals,Bat,Rajasthan Royals,57,Runs,57 runs,Ajinkya Rahane,League,177,20,Yes,Yes
392,2013,Chennai Super Kings,Pune Warriors India,Rajiv Gandhi International Stadium,Hyderabad,Chennai Super Kings,Bat,Pune Warriors India,10,Wickets,10 wickets,Michael Clarke,League,171,20,No,No
393,2013,Royal Challengers Bangalore,Kings XI Punjab,DY Patil Stadium,Navi Mumbai,Kings XI Punjab,Field,Kings XI Punjab,2,Wickets,2 wickets,Mayank Agarwal,League,193,20,Yes,No
394,2013,Pune Warriors India,Kings XI Punjab,VCA Stadium,Nagpur,Pune Warriors India,Bat,Pune Warriors India,86,Runs,86 runs,Robin Uthappa,League,212,20,Yes,Yes
395,2013,Pune Warriors India,Sunrisers Hyderabad,Wankhede Stadium,Mumbai,Pune Warriors India,Bat,Pune Warriors India,1,Wickets,1 wickets,Angelo Mathews,League,205,20,Yes,Yes
396,2013,Royal Challengers Bangalore,Mumbai Indians,JSCA International Stadium,Ranchi,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,77,Runs,77 runs,Daniel Vettori,League,179,20,Yes,No
397,2013,Pune Warriors India,Sunrisers Hyderabad,M Chinnaswamy Stadium,Bangalore,Pune Warriors India,Bat,,7,Wickets,7 wickets,Kane Williamson,Playoff,161,20,No,No
398,2013,Rajasthan Royals,Sunrisers Hyderabad,MA Chidambaram Stadium,Chennai,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,5,Wickets,5 wickets,David Warner,Playoff,148,20,Yes,Yes
399,2013,Sunrisers Hyderabad,Kolkata Knight Riders,Punjab Cricket Association Stadium,Mohali,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,65,Runs,65 runs,Bhuvneshwar Kumar,Playoff,182,20,Yes,No
400,2013,Pune Warriors India,Kings XI Punjab,JSCA International Stadium,Ranchi,Kings XI Punjab,Field,Kings XI Punjab,78,Runs,78 runs,Adam Gilchrist,Final,211,20,Yes,No
401,2013,Rajasthan Royals,Mumbai Indians,Maharashtra Cricket Association Stadium,Pune,Rajasthan Royals,Field,Mumbai Indians,84,Runs,84 runs,Quinton de Kock,Playoff,180,20,No,Yes
402,2014,Kolkata Knight Riders,Royal Challengers Bangalore,Brabourne Stadium,Mumbai,Kolkata Knight Riders,Bat,Royal Challengers Bangalore,25,Runs,25 runs,Shane Bond,League,146,20,No,No
403,2014,Mumbai Indians,Chennai Super Kings,VCA Stadium,Nagpur,Mumbai Indians,Field,Mumbai Indians,3,Runs,3 runs,Hardik Pandya,League,182,20,Yes,No
404,2014,Sunrisers Hyderabad,Mumbai Indians,Punjab Cricket Association Stadium,Mohali,Mumbai Indians,Field,Mumbai Indians,75,Runs,75 runs,,League,161,20,Yes,No
405,2014,Kings XI Punjab,Sunrisers Hyderabad,Sawai Mansingh Stadium,Jaipur,Kings XI Punjab,Field,Sunrisers Hyderabad,2,Wickets,2 wickets,Wriddhiman Saha,League,173,20,No,Yes
406,2014,Rajasthan Royals,Delhi Daredevils,,Ahmedabad,Rajasthan Royals,Field,Delhi Daredevils,48,Runs,48 runs,Morne Morkel,League,144,20,No,Yes
407,2014,Kings XI Punjab,Kolkata Knight Riders,HPCA Stadium,Dharamsala,Kolkata Knight Riders,Field,Kings XI Punjab,64,Runs,64 runs,Michael Hussey,League,219,20,No,Yes
408,2014,Rajasthan Royals,Royal Challengers Bangalore,JSCA International Stadium,Ranchi,Rajasthan Royals,Bat,Rajasthan Royals,45,Runs,45 runs,Jos Buttler,League,173,20,Yes,Yes
409,2014,Kolkata Knight Riders,Kings XI Punjab,Shaheed Veer Narayan Singh International Stadium,Raipur,Kings XI Punjab,Field,Kings XI Punjab,10,Wickets,10 wickets,Yuvraj Singh,League,178,20,Yes,No
